TrialID,BlockID,RefLoc,nTestDots,RefPaths,TestPaths,Responses,RT,TestMore,CorrectReponses
1,1,0,20,stimuli/main/ref_images/img_10_063.png,stimuli/main/test_images/img_20_463.png,-1,-1,-1,1
2,1,1,5,stimuli/main/ref_images/img_10_064.png,stimuli/main/test_images/img_05_464.png,-1,-1,-1,1
3,1,1,6,stimuli/main/ref_images/img_10_310.png,stimuli/main/test_images/img_06_460.png,-1,-1,-1,1
4,1,1,6,stimuli/main/ref_images/img_10_030.png,stimuli/main/test_images/img_06_480.png,-1,-1,-1,1
5,1,0,10,stimuli/main/ref_images/img_10_130.png,stimuli/main/test_images/img_10_480.png,-1,-1,-1,0
6,1,1,10,stimuli/main/ref_images/img_10_123.png,stimuli/main/test_images/img_10_473.png,-1,-1,-1,1
7,1,0,5,stimuli/main/ref_images/img_10_113.png,stimuli/main/test_images/img_05_463.png,-1,-1,-1,0
8,1,0,10,stimuli/main/ref_images/img_10_249.png,stimuli/main/test_images/img_10_499.png,-1,-1,-1,0
9,1,0,10,stimuli/main/ref_images/img_10_067.png,stimuli/main/test_images/img_10_467.png,-1,-1,-1,0
10,1,0,12,stimuli/main/ref_images/img_10_194.png,stimuli/main/test_images/img_12_494.png,-1,-1,-1,1
11,1,0,12,stimuli/main/ref_images/img_10_173.png,stimuli/main/test_images/img_12_473.png,-1,-1,-1,1
12,1,1,10,stimuli/main/ref_images/img_10_228.png,stimuli/main/test_images/img_10_478.png,-1,-1,-1,1
13,1,0,5,stimuli/main/ref_images/img_10_148.png,stimuli/main/test_images/img_05_498.png,-1,-1,-1,0
14,1,0,16,stimuli/main/ref_images/img_10_181.png,stimuli/main/test_images/img_16_481.png,-1,-1,-1,1
15,1,0,5,stimuli/main/ref_images/img_10_127.png,stimuli/main/test_images/img_05_477.png,-1,-1,-1,0
16,1,0,20,stimuli/main/ref_images/img_10_329.png,stimuli/main/test_images/img_20_479.png,-1,-1,-1,1
17,1,1,12,stimuli/main/ref_images/img_10_159.png,stimuli/main/test_images/img_12_459.png,-1,-1,-1,0
18,1,0,10,stimuli/main/ref_images/img_10_151.png,stimuli/main/test_images/img_10_451.png,-1,-1,-1,0
19,1,1,16,stimuli/main/ref_images/img_10_034.png,stimuli/main/test_images/img_16_484.png,-1,-1,-1,0
20,1,0,16,stimuli/main/ref_images/img_10_286.png,stimuli/main/test_images/img_16_486.png,-1,-1,-1,1
21,1,0,5,stimuli/main/ref_images/img_10_218.png,stimuli/main/test_images/img_05_468.png,-1,-1,-1,0
22,1,0,5,stimuli/main/ref_images/img_10_253.png,stimuli/main/test_images/img_05_453.png,-1,-1,-1,0
23,1,1,20,stimuli/main/ref_images/img_10_308.png,stimuli/main/test_images/img_20_458.png,-1,-1,-1,0
24,1,0,6,stimuli/main/ref_images/img_10_100.png,stimuli/main/test_images/img_06_500.png,-1,-1,-1,0
25,1,1,20,stimuli/main/ref_images/img_10_343.png,stimuli/main/test_images/img_20_493.png,-1,-1,-1,0
26,1,1,10,stimuli/main/ref_images/img_10_319.png,stimuli/main/test_images/img_10_469.png,-1,-1,-1,1
27,1,0,6,stimuli/main/ref_images/img_10_317.png,stimuli/main/test_images/img_06_467.png,-1,-1,-1,0
28,1,0,5,stimuli/main/ref_images/img_10_043.png,stimuli/main/test_images/img_05_493.png,-1,-1,-1,0
29,1,1,20,stimuli/main/ref_images/img_10_294.png,stimuli/main/test_images/img_20_494.png,-1,-1,-1,0
30,1,0,20,stimuli/main/ref_images/img_10_021.png,stimuli/main/test_images/img_20_471.png,-1,-1,-1,1
31,1,0,6,stimuli/main/ref_images/img_10_331.png,stimuli/main/test_images/img_06_481.png,-1,-1,-1,0
32,1,0,5,stimuli/main/ref_images/img_10_274.png,stimuli/main/test_images/img_05_474.png,-1,-1,-1,0
33,1,0,5,stimuli/main/ref_images/img_10_085.png,stimuli/main/test_images/img_05_485.png,-1,-1,-1,0
34,1,1,16,stimuli/main/ref_images/img_10_146.png,stimuli/main/test_images/img_16_496.png,-1,-1,-1,0
35,1,1,8,stimuli/main/ref_images/img_10_318.png,stimuli/main/test_images/img_08_468.png,-1,-1,-1,1
36,1,0,5,stimuli/main/ref_images/img_10_099.png,stimuli/main/test_images/img_05_499.png,-1,-1,-1,0
